Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;ASG002__Ausgaben_fuer_den_Umweltschutz__Mill._EUR
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;14740
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;300
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2520
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1240
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;80
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;1240
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;250
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;15300
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;14430
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;320
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2610
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1340
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;60
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;1690
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;290
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;14350
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;14600
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;350
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2550
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1390
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;70
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;1720
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;330
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;14960
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;13750
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;360
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2660
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1400
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;90
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;2140
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;420
