Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;FLC005__Bodenflaeche__qkm
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-12;Industrie- und Gewerbefläche;6168,89
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-121;Industrie und Gewerbe;3823,47
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-13;Halde;155,90
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-14;Bergbaubetrieb;11,32
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-15;Tagebau, Grube, Steinbruch;1485,17
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-16;Fläche gemischter Nutzung;4390,89
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-17;Fläche besonderer funktionaler Prägung;1726,94
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-18;Sport-, Freizeit- und Erholungsfläche;5187,93
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-184;Grünanlage;3102,35
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-19;Friedhof;389,45
